session_id,charge_date,vehicle_model,region,driving_style,charger_type,battery_capacity_kwh,state_of_charge_start,state_of_charge_end,charging_power_kw,charging_duration_mins,energy_consumed_kwh,charging_cost_inr_per_kwh,efficiency_km_per_kwh,predicted_range_km,actual_range_km,vehicle_price_inr,cost_inr
EV0001,2026-05-20T20:27:00,Tata Nexon EV,Chennai,Normal,DC Fast,40.5,48.9,89.2,50.0,22.6,15.2,11.63,6.41,231.5,223.2,1450000,176.78
EV0002,2026-01-30T18:42:00,MG ZS EV,Bengaluru,Normal,AC,50.3,47.4,81.0,22.0,45.8,16.38,11.85,6.24,254.0,244.4,1899000,194.1
EV0003,2026-06-10T09:19:00,Hyundai Kona,Pune,Normal,AC,39.2,20.4,80.4,7.2,203.9,23.83,9.35,6.8,214.2,202.0,2371000,222.81
EV0004,2026-03-20T19:50:00,MG ZS EV,Bengaluru,Eco,AC,50.3,17.6,80.7,22.0,90.3,30.83,8.44,6.64,269.5,250.2,1899000,260.21
EV0005,2026-05-03T12:34:00,MG ZS EV,Hyderabad,Eco,AC,50.3,20.6,65.2,22.0,61.5,22.68,7.57,6.39,209.6,196.8,1899000,171.69
EV0006,2026-04-19T00:20:00,Tata Nexon EV,Chennai,Normal,AC,40.5,32.3,83.7,22.0,61.9,20.57,8.07,6.71,227.3,229.2,1450000,166.0
EV0007,2026-03-15T23:39:00,MG ZS EV,Chennai,Sport,AC,50.3,22.1,66.9,7.2,197.4,22.96,11.07,4.94,166.4,162.0,1899000,254.17
EV0008,2026-03-31T16:29:00,Hyundai Kona,Chennai,Eco,AC,39.2,13.0,68.0,7.2,174.7,20.66,8.91,6.7,178.5,177.0,2371000,184.08
EV0009,2026-02-24T18:58:00,MG ZS EV,Bengaluru,Normal,DC Fast,50.3,27.6,67.9,50.0,28.4,19.35,10.58,5.76,196.6,185.6,1899000,204.72
EV0010,2026-04-09T04:27:00,BYD Atto 3,Pune,Normal,AC,60.5,23.7,68.2,7.2,220.4,26.59,10.79,5.81,239.7,234.5,2499000,286.91
